Exam Date,Name in English ,HKID,Passport No.,Email,UE Grade,UC Grade,AT Grade,BL Grade,Letter Type (Pass/Fail)
2024-06-14,CHAN TAI MAN,T770000(2),,taiman.chan@hotmail.com,L1,L2,P,,P
2024-06-14,WONG TAI MAN,,K12345678,taiman.wong@hotmail.com,L2,F,,P,P
2024-06-14,MAK TAI MAN,Y478101(3),,taiman.mak@hotmail.com,F,L2,,,P
2024-06-14,LUK TAI MAN,,B12345678,taiman.luk@hotmail.com,F,L2,F,F,P
2024-06-14,TANG TAI MAN,P356656(4),,taiman.tang@hotmail.com,F,L2,P,P,P
2024-06-14,LEE TAI MAN,E811824(1),,taiman.lee@hotmail.com,F,,F,F,F
2024-06-14,LAM TAI MAN,M273795(2),,taiman.lam@hotmail.com,,F,F,,F
2024-06-14,YEUNG TAI MAN,K533752(6),,taiman.yeung@hotmail.com,F,,,,F
2024-06-14,MA TAI MAN,V071045(8),,taiman.ma@hotmail.com,F,F,F,F,F
2024-06-14,IP TAI MAN,,D12345678,taiman.ip@hotmail.com,F,,,F,F
