doe,name,hkid,passport,email,ue_grade,uc_grade,at_grade,bl_grade,lett_type
"01/07/2024",CHAN TAI MAN,T7700002,,taiman.chan@hotmail.com,L1,L2,P,,P
"01/07/2024",WONG TAI MAN,,K12345678,taiman.wong@hotmail.com,L2,F,,P,P
"01/07/2024",MAK TAI MAN,Y4781013,,taiman.mak@hotmail.com,F,L2,,,P
"01/07/2024",LUK TAI MAN,,B12345678,taiman.luk@hotmail.com,F,L2,F,F,P
"01/07/2024",TANG TAI MAN,P3566564,,taiman.tang@hotmail.com,F,L2,P,P,P
"01/07/2024",LEE TAI MAN,E8118241,,taiman.lee@hotmail.com,F,,F,F,F
"01/07/2024",LAM TAI MAN,M2737952,,taiman.lam@hotmail.com,,F,F,,F
"01/07/2024",YEUNG TAI MAN,K5337526,,taiman.yeung@hotmail.com,F,,,,F
"01/07/2024",MA TAI MAN,V0710458,,taiman.ma@hotmail.com,F,F,F,F,F
"01/07/2024",IP TAI MAN,,D12345678,taiman.ip@hotmail.com,F,,,F,F
"01/07/2024",CHAN SIU MAN,Z5069808,,siuman.chan@hotmail.com,L1,L2,P,,P
"01/07/2024",WONG SIU MAN,Y4477063,,siuman.wong@hotmail.com,L2,F,,P,P
"01/07/2024",MAK SIU MAN,A3202138,,siuman.mak@hotmail.com,F,L2,,,P
"01/07/2024",LUK SIU MAN,V7981031,,siuman.luk@hotmail.com,F,L2,F,F,P
"01/07/2024",TANG SIU MAN,C0180422,,siuman.tang@hotmail.com,F,L2,P,P,P
"01/07/2024",LEE SIU MAN,,E12345678,siuman.lee@hotmail.com,F,,F,F,F
"01/07/2024",LAM SIU MAN,,F12345678,siuman.lam@hotmail.com,,F,F,,F
"01/07/2024",YEUNG SIU MAN,,G12345678,siuman.yeung@hotmail.com,F,,,,F
"01/07/2024",MA SIU MAN,,H12345678,siuman.ma@hotmail.com,F,F,F,F,F
"01/07/2024",IP SIU MAN,,I12345678,siuman.ip@hotmail.com,F,,,F,F
